Removed Pin From Net: NetName=VBUS_SEN Pin=D1-5
Added Pin To Net: NetName=D+ Pin=D1-4
Added Pin To Net: NetName=D- Pin=D1-6
Added Pin To Net: NetName=3V3 Pin=R1-1
Added Pin To Net: NetName=3V3 Pin=R2-1
Added Pin To Net: NetName=NetC20_2 Pin=R3-1
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=VBUS_SEN Pin=R5-1
Added Pin To Net: NetName=GND Pin=R6-1
Added Pin To Net: NetName=NetD2_A Pin=R7-1
Added Pin To Net: NetName=GND Pin=R8-1
Added Pin To Net: NetName=NetR9_1 Pin=R9-1
Added Pin To Net: NetName=NetR10_1 Pin=R10-1
Added Pin To Net: NetName=GND Pin=R11-1
Added Pin To Net: NetName=3V3 Pin=R12-1
Added Pin To Net: NetName=3V3 Pin=R13-1
Added Pin To Net: NetName=NetR14_1 Pin=R14-1
Added Pin To Net: NetName=NetJ8_5 Pin=R15-1
Added Pin To Net: NetName=NetR16_1 Pin=R16-1
Added Pin To Net: NetName=NetR16_1 Pin=R17-1
Added Pin To Net: NetName=UpBtn Pin=R18-1
Added Pin To Net: NetName=DownBtn Pin=R19-1
Added Pin To Net: NetName=D- Pin=U1-37
Added Pin To Net: NetName=D+ Pin=U1-38
Change Net Name : Old Net Name=VBUS New Net Name=NetJ3_A4
